                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.85391,                 0.4339,                0.90801,                0.96462,                0.94016,                0.97024,                0.78582,                0.88783,                0.40939,                0.85819,             0.00049529,             0.00049529,             0.00049529
                     69,                0.85833,                0.43389,                0.91378,                0.96205,                0.93238,                0.96676,                0.78091,                0.90362,                0.41618,                0.86299,             0.00048114,             0.00048114,             0.00048114
                     70,                0.84925,                0.43544,                0.91207,                0.94642,                0.93934,                0.96457,                0.78308,                0.89375,                0.41341,                0.86017,               0.000467,               0.000467,               0.000467
                     71,                0.83889,                0.42493,                0.90792,                0.96632,                0.92378,                0.96124,                0.77334,                0.88392,                0.40851,                0.85554,             0.00045285,             0.00045285,             0.00045285
                     72,                   0.85,                0.43367,                0.91095,                0.95552,                0.93331,                0.96333,                 0.7889,                0.89077,                0.40978,                 0.8572,              0.0004387,              0.0004387,              0.0004387
                     73,                0.83561,                0.42456,                0.90506,                0.94965,                0.93052,                0.96312,                0.78199,                0.90941,                0.41555,                0.86106,             0.00042456,             0.00042456,             0.00042456
                     74,                 0.8417,                0.42776,                0.90495,                0.94894,                 0.9388,                0.97253,                0.77846,                 0.9019,                0.41902,                0.85989,             0.00041041,             0.00041041,             0.00041041
                     75,                0.84513,                0.42496,                0.90734,                0.95291,                0.93769,                0.97484,                0.78202,                0.89239,                0.41116,                0.85813,             0.00039626,             0.00039626,             0.00039626
                     76,                0.81447,                0.41466,                0.90102,                0.96693,                0.93399,                0.97296,                0.78136,                0.89805,                0.41387,                0.85918,             0.00038211,             0.00038211,             0.00038211
                     77,                0.81817,                0.42022,                0.90194,                0.97264,                0.92934,                0.96927,                0.78444,                0.92084,                0.40682,                0.86259,             0.00036797,             0.00036797,             0.00036797
                     78,                 0.8176,                0.41623,                0.89848,                0.95871,                0.93556,                0.96749,                0.79001,                0.87884,                0.40559,                0.85469,             0.00035382,             0.00035382,             0.00035382
                     79,                0.80911,                0.41095,                0.89983,                0.96521,                0.92952,                0.96975,                0.78859,                0.88045,                0.40423,                 0.8553,             0.00033967,             0.00033967,             0.00033967
                     80,                0.80053,                0.41239,                 0.8969,                0.97269,                0.92319,                0.96472,                 0.7914,                0.86516,                0.40437,                0.85323,             0.00032553,             0.00032553,             0.00032553
                     81,                0.79526,                0.40735,                0.89786,                0.96556,                0.93181,                0.96957,                0.79225,                 0.8807,                 0.3977,                0.85219,             0.00031138,             0.00031138,             0.00031138
                     82,                0.80497,                0.41056,                0.90066,                0.95332,                0.93977,                0.96932,                0.79289,                 0.8852,                0.40004,                0.85244,             0.00029723,             0.00029723,             0.00029723
                     83,                0.79202,                0.40114,                0.89772,                0.95967,                0.93497,                0.96905,                0.79422,                0.86492,                0.39619,                0.85223,             0.00028308,             0.00028308,             0.00028308
                     84,                0.80401,                 0.4052,                0.90063,                0.95598,                0.93794,                0.96919,                0.79164,                0.87877,                0.39527,                0.85402,             0.00026894,             0.00026894,             0.00026894
                     85,                0.79529,                0.40433,                0.89968,                0.95479,                 0.9416,                 0.9737,                0.79281,                0.87589,                0.39154,                 0.8535,             0.00025479,             0.00025479,             0.00025479
                     86,                0.80489,                0.40193,                0.89968,                0.95547,                0.93341,                0.96971,                0.79342,                0.86254,                0.39898,                0.85117,             0.00024064,             0.00024064,             0.00024064
                     87,                0.80116,                 0.4074,                 0.9004,                0.97016,                0.93265,                0.97183,                0.79815,                0.84814,                0.39208,                0.84811,              0.0002265,              0.0002265,              0.0002265
                     88,                0.77745,                 0.3953,                0.89594,                 0.9545,                0.93661,                0.97417,                0.80017,                0.85633,                0.38726,                0.84998,             0.00021235,             0.00021235,             0.00021235
                     89,                 0.7697,                0.39205,                0.89441,                0.94961,                0.93718,                 0.9789,                0.79998,                0.86008,                0.39295,                0.84974,              0.0001982,              0.0001982,              0.0001982
                     90,                0.77346,                0.39092,                0.89036,                0.96153,                0.93372,                0.97734,                0.79233,                0.87084,                 0.3891,                0.85112,             0.00018406,             0.00018406,             0.00018406
                     91,                0.77906,                0.37975,                0.89517,                0.95704,                0.93686,                0.97401,                0.79839,                0.85827,                0.38362,                0.85238,             0.00016991,             0.00016991,             0.00016991
                     92,                0.75354,                0.36904,                 0.8881,                0.95438,                0.93296,                0.97768,                0.79828,                0.86088,                0.38538,                0.85294,             0.00015576,             0.00015576,             0.00015576
                     93,                0.75862,                0.36986,                0.89315,                0.95271,                0.93419,                0.97354,                0.79887,                0.84786,                0.38283,                0.85077,             0.00014161,             0.00014161,             0.00014161
                     94,                0.75275,                0.36549,                0.88856,                0.96411,                0.93182,                0.97408,                0.80433,                0.84537,                0.38321,                0.85103,             0.00012747,             0.00012747,             0.00012747
                     95,                0.73852,                0.36415,                0.88606,                0.96379,                0.93136,                0.96725,                0.80106,                0.84772,                0.38008,                0.85095,             0.00011332,             0.00011332,             0.00011332
                     96,                0.73378,                0.35858,                0.88825,                0.95426,                0.93458,                0.96733,                0.79959,                0.85684,                0.38422,                0.85174,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.73663,                0.36151,                0.88823,                0.95243,                0.93147,                0.97021,                0.80303,                0.85914,                0.38079,                0.85144,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.72884,                 0.3577,                 0.8863,                 0.9533,                0.93109,                0.97256,                0.80224,                0.85149,                0.38071,                0.85181,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.72539,                0.35742,                0.88469,                0.95545,                0.92971,                0.97305,                0.80303,                0.85861,                0.38262,                0.85257,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.72457,                0.35526,                0.88366,                 0.9561,                0.92973,                0.97303,                0.80406,                0.85085,                0.37839,                0.85073,             4.2584e-05,             4.2584e-05,             4.2584e-05
