                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.85683,                0.49741,                 0.9822,                0.70973,                0.53748,                0.58625,                0.43262,                0.57865,                0.40654,                0.90326,               0.001981,               0.001981,               0.001981
                     84,                 0.8485,                0.48979,                0.98502,                0.70705,                0.53748,                0.57784,                0.42623,                0.58098,                0.40645,                0.90579,               0.001882,               0.001882,               0.001882
                     85,                0.83447,                0.48299,                0.97377,                0.70539,                0.53716,                0.58354,                0.42658,                0.58318,                0.40687,                0.90817,               0.001783,               0.001783,               0.001783
                     86,                0.83895,                 0.4853,                0.97746,                0.71109,                 0.5373,                 0.5917,                0.43727,                0.58168,                0.40635,                0.90809,               0.001684,               0.001684,               0.001684
                     87,                 0.8398,                0.48578,                0.97745,                0.70329,                 0.5373,                0.58503,                0.43708,                0.58102,                0.40138,                0.90682,               0.001585,               0.001585,               0.001585
                     88,                0.84545,                0.49054,                0.98274,                0.70075,                 0.5373,                0.58185,                0.43513,                0.58419,                0.40067,                0.90846,               0.001486,               0.001486,               0.001486
                     89,                0.83178,                 0.4805,                0.97412,                0.69324,                 0.5373,                0.58129,                0.43223,                0.58439,                0.39939,                0.90767,               0.001387,               0.001387,               0.001387
                     90,                0.82398,                 0.4731,                0.97275,                0.69408,                 0.5373,                0.58237,                0.43958,                0.58424,                0.40244,                0.90707,               0.001288,               0.001288,               0.001288
                     91,                 0.8256,                0.45643,                0.95869,                0.72647,                0.53769,                0.58495,                0.43512,                0.58686,                0.40147,                0.90909,               0.001189,               0.001189,               0.001189
                     92,                0.81674,                0.45521,                0.95507,                0.72864,                0.53748,                 0.5827,                 0.4376,                0.58722,                0.39893,                0.91045,                0.00109,                0.00109,                0.00109
                     93,                0.80782,                0.44521,                0.95467,                0.73045,                0.53696,                0.58174,                0.43516,                0.58552,                0.39699,                0.90926,               0.000991,               0.000991,               0.000991
                     94,                0.80161,                0.44386,                0.94628,                0.72909,                0.53679,                0.57974,                0.43413,                0.58519,                0.39736,                0.91065,               0.000892,               0.000892,               0.000892
                     95,                  0.792,                  0.439,                0.94795,                0.73006,                0.53662,                0.58034,                0.43746,                0.58576,                0.39711,                0.91302,               0.000793,               0.000793,               0.000793
                     96,                0.78934,                0.43695,                0.94546,                0.73383,                0.53713,                0.58724,                0.44089,                0.58497,                0.39739,                0.91291,               0.000694,               0.000694,               0.000694
                     97,                0.78907,                0.43244,                0.94617,                0.73539,                0.53696,                0.58734,                0.43767,                 0.5841,                0.39812,                0.91228,               0.000595,               0.000595,               0.000595
                     98,                0.77625,                0.42686,                0.94351,                0.73487,                0.53696,                0.58648,                0.43827,                0.58379,                  0.399,                0.91226,               0.000496,               0.000496,               0.000496
                     99,                0.77862,                0.42636,                0.94228,                0.74172,                0.53655,                0.57444,                0.43488,                0.58357,                0.39917,                0.91204,               0.000397,               0.000397,               0.000397
                    100,                 0.7708,                0.41991,                0.93674,                0.74444,                0.53628,                0.58697,                0.43785,                0.58352,                0.39896,                 0.9115,               0.000298,               0.000298,               0.000298
